Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,"19,060",2:47,STAPLES Center,
7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,"14,441",2:13,Bankers Life Fieldhouse,
8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,"22,879",2:43,United Center,
8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,"18,717",2:14,BMO Harris Bradley Center,
10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,"15,050",2:17,US Airways Center,
10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,"14,648",2:26,Sleep Train Arena,
10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,"18,997",2:33,STAPLES Center,
8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,"21,957",2:22,United Center,
8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,"19,187",2:10,Philips Arena,
10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,"19,596",2:24,Oracle Arena,
7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,"18,846",2:21,Amway Center,
7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,"18,624",2:13,TD Garden,
7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,"17,732",2:12,Barclays Center,
7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,"18,434",2:18,The Palace of Auburn Hills,
7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,"19,800",2:34,Air Canada Centre,
7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,"19,724",2:19,AmericanAirlines Arena,
8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,"18,717",2:20,BMO Harris Bradley Center,
8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,"18,203",2:19,Chesapeake Energy Arena,
8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,"18,119",2:07,FedEx Forum,
8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,"18,240",2:12,Toyota Center,
10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,"18,055",2:21,Talking Stick Resort Arena,
10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,"19,393",2:06,Moda Center,
10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,"17,458",2:19,Sleep Train Arena,
10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,"18,997",2:35,STAPLES Center,
7:00p,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,"18,165",2:18,Bankers Life Fieldhouse,
8:00p,Atlanta Hawks,112,New York Knicks,101,Box Score,,"19,812",2:21,Madison Square Garden (IV),
10:30p,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,"19,218",2:23,STAPLES Center,
7:00p,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,"20,562",2:17,Quicken Loans Arena,
7:00p,Utah Jazz,99,Philadelphia 76ers,71,Box Score,,"17,122",2:15,Wells Fargo Center,
7:00p,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,"18,846",3:07,Amway Center,
7:30p,Toronto Raptors,113,Boston Celtics,103,Box Score,,"16,898",2:29,TD Garden,
7:30p,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,"16,035",2:33,The Palace of Auburn Hills,
8:00p,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,"17,024",2:19,Philips Arena,
8:00p,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,"13,858",2:29,BMO Harris Bradley Center,
8:30p,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,"18,418",2:06,AT&T Center,
9:00p,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,"17,660",2:27,Pepsi Center,
9:30p,Golden State Warriors,112,Houston Rockets,92,Box Score,,"18,142",2:20,Toyota Center,
10:00p,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,"17,391",2:14,Sleep Train Arena,
10:30p,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,"18,055",2:39,Talking Stick Resort Arena,
7:00p,Utah Jazz,97,Indiana Pacers,76,Box Score,,"14,412",2:13,Bankers Life Fieldhouse,
7:00p,New York Knicks,117,Washington Wizards,110,Box Score,,"20,356",2:37,Verizon Center,
7:30p,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,"18,406",2:11,Smoothie King Center,
8:00p,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,"16,013",2:16,FedEx Forum,
10:00p,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,"17,906",2:09,Moda Center,
